Key,X,radius,yaxis,Y,room_id,host_id,room_type,type_num,country,city,neighborhood,address,reviews,overall_sa,accommodat,bedrooms,bathrooms,price,price2,deleted,minstay,timestamp,latitude,longitude,survey_i,town_id,town,subregion,COUNT
3877,-71.0587,3,351.2288832,42.352979,7007519,6599641,Entire home/apt,1,United States,Boston,", Bosto",,0,0,3,1,1,150,300,0,4,52:33.3,42.352979,-71.0587,2,35,Boston,INNER CORE,1
1874,-71.080956,3,354.6052768,42.369923,4887775,24425037,Private room,2,United States,Cambridge,"3rd and Gore St, Cambridg",3rd and Gore St,5,5,1,1,1,55,110,0,1,43:14.1,42.369923,-71.080956,1,49,Cambridge,INNER CORE,1
832,-71.087073,3,351.3622673,42.369751,4763977,19353237,Entire home/apt,1,United States,Cambridge,"8th St, Cambridg",8th St,21,4.5,4,1,1,150,300,0,,21:24.8,42.369751,-71.087073,2,49,Cambridge,INNER CORE,1
2576,-71.084709,3,353.0088258,42.310306,6044315,11368359,Private room,2,United States,Boston,"A Howland St, Bosto",A Howland St,2,5,1,1,1,70,140,0,1,01:28.5,42.310306,-71.084709,2,35,Boston,INNER CORE,1
1485,-71.058973,3,350.1927014,42.376676,3897000,6386662,Entire home/apt,1,United States,Boston,"A Monument Square, Bosto",A Monument Square,9,5,4,1,1,230,460,0,1,05:12.3,42.376676,-71.058973,2,35,Boston,INNER CORE,1
3960,-71.116658,3,350.9437129,42.389173,3940193,23292,Entire home/apt,1,United States,Somerville,"Acadia Park, Somervill",Acadia Park,0,0,3,1,1,200,400,0,10,19:19.5,42.389173,-71.116658,2,274,Somerville,INNER CORE,1
4078,-71.055978,3,350.7564239,42.296952,6643214,20176530,Shared room,3,United States,Dorchester,"Adams St, Dorcheste",Adams St,0,0,1,1,1,67,134,0,1,52:47.6,42.296952,-71.055978,2,35,Boston,INNER CORE,1
1772,-71.100771,3,350.601348,42.330837,6394991,29227463,Private room,2,United States,Roxbury Crossing,"Alleghany St, Roxbury Crossin",Alleghany St,6,3.5,2,1,2.5,89,178,0,1,58:58.2,42.330837,-71.100771,1,35,Boston,INNER CORE,1
2959,-71.142054,3,350.8106503,42.344071,6711297,30744053,Entire home/apt,1,United States,Boston,"Allston St, Bosto",Allston St,1,2,2,1,1,120,240,0,1,33:27.9,42.344071,-71.142054,2,35,Boston,INNER CORE,1
750,-71.12759,3,350.2219853,42.355017,3353,4240,Private room,2,United States,Allston,Allston-Brighton,Gardner St,23,4.5,1,1,1,35,70,0,7,33:00.1,42.355017,-71.12759,1,35,Boston,INNER CORE,1
3195,-71.132628,3,354.0325411,42.355071,7055184,22419290,Private room,2,United States,ALLSTON,Allston-Brighton,HARVARD,0,0,1,1,1,35,70,0,1,31:01.1,42.355071,-71.132628,1,35,Boston,INNER CORE,1
3222,-71.127373,3,354.7951911,42.354057,6761345,35381728,Private room,2,United States,Allston,Allston-Brighton,Chester Street,0,0,1,1,1,40,80,0,15,26:48.2,42.354057,-71.127373,1,35,Boston,INNER CORE,1
