"","roomType","city","long","lat","price"
"1","Entire home/apt","Boston",-71.0587,42.352979,150
"2","Private room","Cambridge",-71.080956,42.369923,55
"3","Entire home/apt","Cambridge",-71.087073,42.369751,150
"4","Private room","Boston",-71.084709,42.310306,70
"5","Entire home/apt","Boston",-71.058973,42.376676,230
"6","Entire home/apt","Somerville",-71.116658,42.389173,200
"7","Shared room","Dorchester",-71.055978,42.296952,67
"8","Private room","Roxbury Crossing",-71.100771,42.330837,89
"9","Entire home/apt","Boston",-71.142054,42.344071,120
"10","Private room","Allston",-71.12759,42.355017,35
"11","Private room","Allston",-71.132628,42.355071,35
"12","Private room","Allston",-71.127373,42.354057,40
"13","Private room","Allston",-71.130658,42.359026,65
"14","Private room","Allston",-71.136823,42.361014,69
"15","Private room","Allston",-71.134499,42.35528,80
"16","Private room","Allston",-71.135475,42.355242,85
"17","Private room","Allston",-71.142566,42.349892,95
"18","Private room","Allston",-71.128153,42.352842,95
"19","Entire home/apt","Allston",-71.128988,42.355282,120
"20","Entire home/apt","Allston",-71.132956,42.352832,245
"21","Shared room","Boston",-71.148692,42.340805,32
"22","Private room","Boston",-71.135076,42.361228,32
"23","Private room","Boston",-71.150179,42.340849,34
"24","Private room","Boston",-71.13741,42.349554,35
"25","Private room","Boston",-71.136016,42.350695,35
"26","Private room","Boston",-71.1289,42.354453,36
"27","Private room","Boston",-71.140578,42.346266,40
"28","Private room","Boston",-71.142152,42.350194,40
"29","Private room","Boston",-71.161541,42.349856,40
"30","Private room","Boston",-71.13581,42.350468,40
"31","Private room","Boston",-71.12833,42.354375,40
"32","Private room","Boston",-71.139849,42.348984,40
"33","Shared room","Boston",-71.140163,42.348254,42
"34","Private room","Boston",-71.143635,42.361158,43
"35","Private room","Boston",-71.136151,42.349017,45
"36","Private room","Boston",-71.135658,42.349276,49
"37","Private room","Boston",-71.14493,42.352923,50
"38","Private room","Boston",-71.135252,42.346073,50
"39","Private room","Boston",-71.13553,42.352914,50
"40","Private room","Boston",-71.131831,42.353852,50
"41","Private room","Boston",-71.128262,42.359445,50
"42","Shared room","Boston",-71.141864,42.344824,50
"43","Private room","Boston",-71.127591,42.354779,50
"44","Private room","Boston",-71.167459,42.344382,50
"45","Private room","Boston",-71.129579,42.35325,50
"46","Private room","Boston",-71.134724,42.346483,52
"47","Private room","Boston",-71.127635,42.353622,52
"48","Private room","Boston",-71.128911,42.354054,55
"49","Private room","Boston",-71.136074,42.347416,55
"50","Private room","Boston",-71.135712,42.348773,55
"51","Private room","Boston",-71.137018,42.35502,57
"52","Entire home/apt","Boston",-71.156877,42.35746,59
"53","Private room","Boston",-71.158306,42.356409,59
"54","Private room","Boston",-71.158773,42.357461,59
"55","Entire home/apt","Boston",-71.158775,42.355703,59
"56","Private room","Boston",-71.134242,42.347675,60
"57","Private room","Boston",-71.125614,42.35011,60
"58","Private room","Boston",-71.143522,42.350217,60
"59","Private room","Boston",-71.144211,42.351593,60
"60","Private room","Boston",-71.137151,42.352445,60
"61","Entire home/apt","Boston",-71.118784,42.364499,60
"62","Private room","Boston",-71.130488,42.353808,60
"63","Private room","Boston",-71.130578,42.356861,62
"64","Private room","Boston",-71.129637,42.354526,62
"65","Private room","Boston",-71.132208,42.354619,65
"66","Private room","Boston",-71.142355,42.353398,65
"67","Private room","Boston",-71.127706,42.352113,65
"68","Private room","Boston",-71.156488,42.346077,65
"69","Private room","Boston",-71.16348,42.349161,65
"70","Entire home/apt","Boston",-71.126781,42.350335,65
"71","Private room","Boston",-71.149439,42.341507,65
"72","Private room","Boston",-71.125216,42.35224,65
"73","Private room","Boston",-71.133919,42.346731,65
"74","Private room","Boston",-71.137516,42.347805,67
"75","Private room","Boston",-71.119373,42.353237,69
"76","Private room","Boston",-71.13786,42.347635,69
"77","Private room","Boston",-71.138333,42.35523,69
"78","Private room","Boston",-71.141969,42.344505,70
"79","Entire home/apt","Boston",-71.146382,42.341276,70
"80","Private room","Boston",-71.155764,42.347259,70
"81","Entire home/apt","Boston",-71.120629,42.364738,70
"82","Private room","Boston",-71.153069,42.341227,70
"83","Private room","Boston",-71.133502,42.347882,70
"84","Private room","Boston",-71.138246,42.347369,71
"85","Private room","Boston",-71.166583,42.347726,72
"86","Private room","Boston",-71.131414,42.3502,73
"87","Private room","Boston",-71.13658,42.356708,73
"88","Private room","Boston",-71.135735,42.347957,75
"89","Private room","Boston",-71.136808,42.354993,75
"90","Private room","Boston",-71.139871,42.345366,75
"91","Private room","Boston",-71.170059,42.346565,75
"92","Private room","Boston",-71.158183,42.352881,75
"93","Private room","Boston",-71.146811,42.342217,75
"94","Private room","Boston",-71.137707,42.347271,75
"95","Private room","Boston",-71.137052,42.354919,77
"96","Private room","Boston",-71.138653,42.354887,77
"97","Private room","Boston",-71.137451,42.354931,78
"98","Private room","Boston",-71.130486,42.354123,80
"99","Entire home/apt","Boston",-71.142325,42.361078,80
"100","Entire home/apt","Boston",-71.134338,42.348072,80
"101","Private room","Boston",-71.142021,42.349985,80
"102","Private room","Boston",-71.153251,42.340582,80
"103","Private room","Boston",-71.135151,42.349361,80
"104","Private room","Boston",-71.145265,42.342548,80
"105","Private room","Boston",-71.135769,42.348282,83
"106","Private room","Boston",-71.135442,42.346566,83
"107","Private room","Boston",-71.142056,42.351929,85
"108","Private room","Boston",-71.134224,42.346077,85
"109","Private room","Boston",-71.130722,42.355729,85
"110","Entire home/apt","Boston",-71.130344,42.353359,85
"111","Entire home/apt","Boston",-71.150184,42.339366,85
"112","Private room","Boston",-71.12634,42.351456,85
"113","Private room","Boston",-71.162519,42.349076,85
"114","Private room","Boston",-71.151437,42.33719,89
"115","Private room","Boston",-71.125513,42.36115,89
"116","Private room","Boston",-71.12532,42.361265,89
"117","Shared room","Boston",-71.121702,42.357029,89
"118","Private room","Boston",-71.128744,42.35181,89
"119","Private room","Boston",-71.125849,42.353313,90
"120","Entire home/apt","Boston",-71.134686,42.346524,90
"121","Entire home/apt","Boston",-71.148274,42.353654,90
"122","Private room","Boston",-71.149075,42.338222,90
"123","Private room","Boston",-71.123305,42.360108,90
"124","Private room","Boston",-71.130641,42.361929,95
"125","Private room","Boston",-71.136552,42.352311,95
"126","Private room","Boston",-71.155196,42.347956,95
"127","Private room","Boston",-71.167968,42.348512,95
"128","Private room","Boston",-71.140472,42.352014,95
"129","Entire home/apt","Boston",-71.118403,42.365136,95
"130","Private room","Boston",-71.119613,42.363552,97
"131","Private room","Boston",-71.16242,42.355088,99
"132","Private room","Boston",-71.134298,42.348842,99
"133","Private room","Boston",-71.129104,42.360175,100
"134","Entire home/apt","Boston",-71.130001,42.353975,100
"135","Private room","Boston",-71.132088,42.354788,100
"136","Entire home/apt","Boston",-71.131161,42.354003,100
"137","Entire home/apt","Boston",-71.142176,42.344668,100
"138","Private room","Boston",-71.126152,42.351361,100
"139","Entire home/apt","Boston",-71.1299,42.34923,100
"140","Entire home/apt","Boston",-71.120128,42.36522,100
"141","Private room","Boston",-71.137153,42.354254,105
"142","Private room","Boston",-71.1219,42.350903,105
"143","Private room","Boston",-71.152474,42.338765,105
"144","Entire home/apt","Boston",-71.133281,42.350493,109
"145","Entire home/apt","Boston",-71.168142,42.34502,110
"146","Private room","Boston",-71.131797,42.353449,115
"147","Private room","Boston",-71.134384,42.3475,115
"148","Private room","Boston",-71.158718,42.348575,115
"149","Private room","Boston",-71.136677,42.351786,115
"150","Entire home/apt","Boston",-71.119794,42.365379,115
"151","Private room","Boston",-71.125059,42.351922,120
"152","Private room","Boston",-71.127612,42.354224,120
"153","Entire home/apt","Boston",-71.139219,42.345668,120
"154","Entire home/apt","Boston",-71.129889,42.354046,120
"155","Entire home/apt","Boston",-71.1503,42.337582,120
"156","Private room","Boston",-71.134942,42.362309,120
"157","Entire home/apt","Boston",-71.136279,42.348444,125
"158","Entire home/apt","Boston",-71.131144,42.349672,125
"159","Entire home/apt","Boston",-71.144771,42.345203,125
"160","Entire home/apt","Boston",-71.146339,42.341089,125
